CM01   58.60   64.00
CM02   63.30   58.50
CM03   58.00   63.35
CM04   55.90   65.75
CM05   56.30   65.30
CM06   60.80   57.35
CM07   60.45   65.90
CM08   64.20   61.70
CM09   59.65   63.20
CM10   61.25   60.75
CM11   60.60   59.50
CM12   61.10   53.50
DA41   64.71   65.77
DA42   67.48   71.02
DA43   65.85   67.02
DA44   67.28   71.22
DA45   66.93   67.51
DA46   68.20   67.71
DA47   68.11   68.02
DA48   72.15   74.00
DA49   68.95   69.98
DA50   65.26   65.77
DA51   72.01   67.85
DA52   70.90   72.33
DA53   67.05   67.03
DA54   64.79   68.11
DA55   65.78   72.19
DA56   69.05   71.35
DA57   66.38   66.10
DA58   66.22   65.47
DA59   78.26   75.76
DA60   69.03   70.05
DA61   68.68   69.99
DA62   70.54   69.72
DA63   62.85   62.05
DA64   84.45   88.55
DA65   66.21   61.37
DV01   62.58   63.85
DV02   66.75   68.40
DV03   66.45   67.95
DV04   68.61   70.38
DV05   70.25   68.11
DV06   70.84   70.62
DV07   72.20   72.29
DV08   71.13   71.68
DV09   66.59   69.76
DV10   68.84   68.56
DV11   70.05   69.30
DV12   67.69   68.41
DV13   67.88   66.21
DV14   67.91   68.33
DV15   68.28   67.24
DV16   67.08   70.31
DV17   66.82   67.35
DV18   69.00   68.49
DV19   69.78   67.82
DV20   73.06   76.29
DV21   64.43   65.69
DV22   64.12   65.00
DV23   65.46   67.13
DV24   66.01   68.35
DV25   64.00   63.62
PM01   69.82   63.64
PM02   73.00   67.10
PM03   72.12   69.19
PM04   73.73   63.98
