CM01 0 -0.001669 -0.001624 -0.001669 0.001303
CM01 1 -0.003209 -0.001603 -0.003209 0.001758
CM01 2 -0.001307 -0.000202 -0.001307 0.003978
CM01 3 -0.002004 0.001651 -0.002004 0.004901
CM02 0 0.003277 -0.003476 0.003277 0.015923
CM02 1 0.003509 -0.001894 0.003509 0.009803
CM02 2 0.006466 -0.003842 0.006466 0.004954
CM02 3 0.001833 0.000107 0.001833 -0.000378
CM03 0 -0.002443 -0.008615 -0.002443 -0.018154
CM03 1 -0.005999 -0.010794 -0.005999 -0.014514
CM03 2 -0.003672 -0.011749 -0.003672 -0.013737
CM03 3 -0.004830 -0.011885 -0.004830 -0.015152
CM05 0 -0.001104 0.001035 -0.001104 0.001827
CM05 1 -0.001721 0.002459 -0.001721 0.003029
CM05 2 -0.000485 0.002459 -0.000485 0.001810
CM05 3 -0.001994 0.003536 -0.001994 0.002680
CM06 0 -0.001755 0.001951 -0.001755 0.005501
CM06 1 -0.001457 0.003700 -0.001457 0.006971
CM06 2 0.000250 0.010067 0.000250 0.009467
CM06 3 -0.002319 0.010172 -0.002319 0.010226
CM07 0 0.002985 0.008727 0.002985 0.011286
CM07 1 -0.000199 0.008331 -0.000199 0.010777
CM07 2 -0.000925 0.006307 -0.000925 0.011096
CM07 3 0.000062 0.007355 0.000062 0.006743
CM08 0 0.000100 0.007626 0.000100 0.007748
CM08 1 -0.003696 0.004244 -0.003696 0.007478
CM08 2 -0.003817 0.003532 -0.003817 0.005512
CM08 3 -0.002045 0.003508 -0.002045 0.002447
CM09 0 0.007475 0.000157 0.007475 0.007706
CM09 1 0.003828 -0.000024 0.003828 0.008352
CM09 2 0.004776 -0.001720 0.004776 0.006725
CM09 3 0.005896 -0.001856 0.005896 0.004902
CM10 0 -0.001400 -0.003816 -0.001400 -0.011222
CM10 1 -0.006042 -0.004081 -0.006042 -0.010339
CM10 2 -0.005441 -0.008011 -0.005441 -0.012340
CM10 3 -0.004790 -0.009348 -0.004790 -0.009780
CM11 0 -0.002608 0.003094 -0.002608 0.001343
CM11 1 -0.004092 0.002660 -0.004092 0.000721
CM11 2 -0.003325 0.002722 -0.003325 -0.001575
CM11 3 -0.004328 0.002645 -0.004328 -0.002592
PM04 0 -0.004909 0.004889 -0.004909 0.006549
PM04 1 -0.012603 0.010063 -0.012603 0.010446
PM04 2 -0.001387 0.007358 -0.001387 0.007784
PM04 3 -0.007231 0.012071 -0.007231 0.011829
DA41 0 0.000145 -0.021051 0.000145 -0.014820
DA41 1 0.000453 -0.018731 0.000453 -0.015716
DA41 2 -0.002844 -0.019904 -0.002844 -0.017517
DA41 3 -0.003990 -0.021902 -0.003990 -0.017244
DA45 0 -0.006332 -0.016877 -0.006332 -0.015752
DA45 1 -0.005413 -0.015245 -0.005413 -0.015242
DA45 2 -0.006383 -0.010755 -0.006383 -0.015254
DA45 3 -0.008240 -0.010856 -0.008240 -0.015436
DA48 0 -0.004258 -0.005127 -0.004258 -0.005175
DA48 1 -0.003830 -0.005108 -0.003830 -0.004482
DA48 2 -0.003052 -0.006892 -0.003052 -0.007530
DA48 3 -0.003948 -0.005498 -0.003948 -0.006740
DA50 0 0.002648 0.001374 0.002648 0.000268
DA50 1 0.003463 -0.004164 0.003463 -0.000463
DA50 2 -0.003919 0.008431 -0.003919 -0.003725
DA50 3 -0.007950 0.010134 -0.007950 -0.000882
DA52 0 -0.003357 -0.001339 -0.003357 -0.003308
DA52 1 -0.004205 -0.000574 -0.004205 -0.001903
DA52 2 -0.003781 0.002263 -0.003781 -0.000295
DA52 3 -0.006661 0.002596 -0.006661 0.000264
DA54 0 0.000352 -0.004701 0.000352 -0.008222
DA54 1 0.001647 -0.009021 0.001647 -0.006963
DA54 2 0.005776 -0.005670 0.005776 -0.003217
DA54 3 0.006523 -0.003532 0.006523 -0.005062
DA58 0 0.002053 0.002405 0.002053 0.005352
DA58 1 0.000591 0.000623 0.000591 0.003060
DA58 2 -0.001950 -0.003950 -0.001950 0.000856
DA58 3 -0.003458 -0.003283 -0.003458 0.000791
DA62 0 -0.002461 0.017615 -0.002461 0.016191
DA62 1 -0.002984 0.017598 -0.002984 0.014553
DA62 2 -0.002645 0.015389 -0.002645 0.013013
DA62 3 -0.002357 0.015893 -0.002357 0.013064
DA64 0 0.001035 -0.014869 0.001035 -0.001635
DA64 1 0.003485 -0.006263 0.003485 -0.003255
DA64 2 -0.013966 0.001200 -0.013966 -0.005329
DA64 3 -0.010854 -0.004113 -0.010854 -0.004960
DV02 0 -0.007986 0.007902 -0.007986 0.001687
DV02 1 -0.006373 0.009530 -0.006373 0.001956
DV02 2 -0.009378 0.008128 -0.009378 -0.001371
DV02 3 -0.011599 0.008109 -0.011599 -0.002106
DV08 0 -0.005385 0.003687 -0.005385 0.000173
