CM01   63.05   64.80
CM02   61.32   59.74
CM03   63.27   61.52
CM04   58.20   60.45
CM05   60.40   57.82
CM06   60.71   65.10
CM07   61.46   62.60
CM08   55.88   57.15
CM09   59.12   61.34
CM10   61.20   60.15
CM11   60.29   57.85
CM12   58.40   61.15
DA41   65.30   64.00
DA42   60.68   62.40
DA43   65.95   62.38
DA44   56.75   59.65
DA45   64.95   60.95
DA46   59.15   58.05
DA47   60.95   60.10
DA48   62.83   63.97
DA49   63.77   64.27
DA50   57.07   57.60
DA51   68.47   65.47
DA52   66.67   66.92
DA53   62.75   65.95
DA54   62.77   64.17
DA55   62.48   63.92
DA56   64.45   63.53
DA57   69.80   67.20
DA58   51.98   52.92
DA59   60.10   59.50
DA60   61.17   62.70
DA61   62.90   65.80
DA62   57.25   56.90
DA63   67.35   63.40
DA64   57.60   58.90
DA65   63.15   63.75
DV01   67.60   66.15
DV02   69.55   69.45
DV03   71.90   73.25
DV04   64.57   62.08
DV05   61.55   59.90
DV06   64.95   63.35
DV07   65.30   64.30
DV08   62.10   61.30
DV09   66.43   67.28
DV10   60.20   58.65
DV11   69.03   68.40
DV12   64.88   63.95
DV13   66.20   67.10
DV14   60.23   59.75
DV15   57.12   57.17
DV16   58.60   67.55
DV17   60.10   65.33
DV18   65.05   64.00
DV19   62.60   59.40
DV20   62.95   62.83
DV21   61.80   61.92
DV22   62.05   61.37
DV23   65.75   64.75
DV24   61.38   59.98
DV25   66.40   58.50
PM01   59.89   60.45
PM02   60.23   58.10
PM03   61.30   57.88
PM04   55.40   52.55

